Depth,Lith_geo,CALI,DRHO,NPHI,RHOB,GR,DTC,DTE,RDEP,SP,RSHA,Rxo,RMED
3682.157715,4,8.390999794,-0.007,0.190919995,2.450999975,37.87900162,78.73051453,23286562,1.297999978,30.72800064,3.187999964,5.129000187,3.187999964
3682.310059,4,8.397999764,-0.007,0.18847999,2.434000015,39.58499908,78.91012573,23321370,1.263000011,30.03800011,3.170000076,4.684999943,3.170000076
3682.462647,4,8.397999764,0.012,0.179199994,2.444999933,40.12200165,78.62921906,23244992,1.238000035,31.78099823,3.200999975,5.381000042,3.200999975
3682.61499,4,8.375,0.004,0.174799994,2.447000027,43.04800034,78.99007416,23359880,1.231999993,29.70100021,3.164000034,5.03399992,3.164000034
3682.767334,4,8.397999764,0,0.176760003,2.443000078,42.93799973,78.11361694,23101036,1.251000047,28.61800003,3.082000017,4.638000011,3.082000017
3682.919678,4,8.328000069,-0.014,0.184570015,2.434000015,37.27700043,77.17727661,22737578,1.289999962,29.0170002,3.122999907,4.28399992,3.122999907
3683.072266,4,8.366999626,-0.005,0.187989995,2.440999985,39.79600143,78.40986633,23142116,1.347000003,30.6949997,3.315000057,5.379000187,3.315000057
3683.224609,4,8.397999764,-0.001,0.187989995,2.448999882,41.08599854,77.71588135,22967370,1.429999948,31.68400002,3.512000084,5.131000042,3.512000084
3683.376953,4,8.343999863,0.001,0.180179998,2.459000111,44.98099899,76.31072998,22553712,1.541000009,31.44199753,3.625999928,5.548999786,3.625999928
3683.529297,4,8.343999863,-0.011,0.177249998,2.436000109,44.68899918,75.93772888,22434334,1.671000004,32.80099869,3.763000011,5.632999897,3.763000011
3683.681641,4,8.515999794,-0.021,0.170410007,2.427999973,42.63800049,73.01366425,21507724,1.812999964,34.94200134,4.106999874,6.068999767,4.106999874
3683.834229,4,8.538999558,-0.026000001,0.166989997,2.463000059,38.37099838,68.22267914,20043022,1.960999966,35.88800049,5.103000164,6.250999928,5.103000164
3683.986572,4,8.569999695,-0.017000001,0.162599996,2.549000025,36.9129982,62.30752182,18291388,2.13199997,37.6269989,7.617000103,21.54400063,7.617000103
3684.138916,4,8.586000443,-0.004,0.143069997,2.655999899,38.49200058,58.10768127,16990942,2.326999903,39.43199921,14.14000034,113.5680008,14.14000034
3684.29126,4,8.586000443,-0.004,0.114259996,2.697000027,39.30899811,55.03991699,16068963,2.565000057,39.30799866,28.13599968,120.7969971,28.13599968
3684.443848,4,8.555000305,-0.003,0.085450001,2.719000101,38.06800079,54.65571976,15950286,2.851999998,36.96699905,47.28300095,179.8200073,47.28300095
3684.596191,4,8.640999794,0.013,0.070799999,2.703000069,32.48699951,55.88045502,16250303,3.14199996,38.38100052,66.81300354,133.0079956,66.81300354
3684.748535,4,8.625,0.096000001,0.060060002,2.729000092,32.15800095,56.40951538,16468034,3.451999903,37.45299912,96.60700226,115.7969971,96.60700226
3684.900879,4,8.671999931,0.092,0.051269997,2.700999975,29.24799919,55.47317505,16211573,3.802999973,38.99599838,109.3759995,63.21900177,109.3759995
3685.053467,4,9.187999725,0.057999998,0.04053,2.665999889,31.5510006,56.70915985,16548126,4.18599987,40.70999908,95.2559967,51.46099854,95.2559967
3685.205811,4,9.125,-0.001,0.041989997,2.645999908,30.69199944,56.25293732,16416967,4.603000164,41.77099991,70.18299866,57,70.18299866
3685.358154,4,8.687999725,0.013,0.049800001,2.670000076,32.33800125,56.69464493,16539689,5.072999954,39.77899933,58.2879982,62.18199921,58.2879982
3685.510498,4,8.875,0.02,0.05029,2.698999882,31.39500046,55.9412117,16296318,5.513999939,41.81700134,53.95800018,69.12200165,53.95800018
3685.662842,4,8.538999558,0.024,0.060549997,2.730000019,32.55699921,55.01927567,16061837,5.923999786,42.88100052,54.93299866,92.1210022,54.93299866
3685.81543,4,8.515999794,0.006,0.063479997,2.714999914,31.6609993,55.5900383,16211821,6.361000061,42.75400162,59.41600037,119.7580032,59.41600037
3685.967773,4,8.491999626,0.004,0.063479997,2.707000017,31.15800095,54.49607468,15894297,6.702000141,43.05699921,62.61500168,86.81300354,62.61500168
3686.120117,4,8.522999764,0.006,0.059080001,2.698999882,31.20299912,55.78183746,16239420,7.065000057,43.04600143,65.36199951,53.20800018,65.36199951
3686.272461,4,8.522999764,0.024,0.052729998,2.698999882,29.5699997,58.01172257,16901448,7.638000011,43.09999847,57.69300079,39.78699875,57.69300079
3686.425049,4,8.546999931,0.043000002,0.055659998,2.674000025,28.41200066,60.84798813,17839550,8.262999535,41.1570015,41.73300171,12.86900044,41.73300171
